timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1545054725101,1527,Get Página Inicial,200,OK,Thread Group 1-1,true,,144726,100,100,57,1,0,CPCG-150518
1545054725111,1521,Get Página Inicial,200,OK,Thread Group 1-2,true,,144981,100,100,67,1,0,CPCG-150518
1545054725188,1525,Get Página Inicial,200,OK,Thread Group 1-8,true,,144923,100,100,172,1,0,CPCG-150518
1545054725124,1650,Get Página Inicial,200,OK,Thread Group 1-3,true,,145022,100,100,264,1,0,CPCG-150518
1545054725292,1496,Get Página Inicial,200,OK,Thread Group 1-13,true,,144906,100,100,80,1,0,CPCG-150518
1545054725235,1553,Get Página Inicial,200,OK,Thread Group 1-11,true,,144941,100,100,107,1,0,CPCG-150518
1545054725230,1573,Get Página Inicial,200,OK,Thread Group 1-10,true,,145009,100,100,129,1,0,CPCG-150518
1545054725226,1577,Get Página Inicial,200,OK,Thread Group 1-9,true,,145148,100,100,114,1,0,CPCG-150518
1545054725289,1540,Get Página Inicial,200,OK,Thread Group 1-12,true,,144860,100,100,87,1,0,CPCG-150518
1545054725298,1572,Get Página Inicial,200,OK,Thread Group 1-14,true,,144608,100,100,290,1,0,CPCG-150518
1545054725138,1796,Get Página Inicial,200,OK,Thread Group 1-4,true,,144997,100,100,430,1,0,CPCG-150518
1545054725168,4676,Get Página Inicial,200,OK,Thread Group 1-6,true,,144994,100,100,1439,1,0,CPCG-150518
1545054726151,8722,Get Página Inicial,200,OK,Thread Group 1-60,true,,145138,100,100,2960,1,0,CPCG-150518
1545054726264,8609,Get Página Inicial,200,OK,Thread Group 1-83,true,,144835,100,100,3649,1,0,CPCG-150518
1545054726158,8721,Get Página Inicial,200,OK,Thread Group 1-62,true,,144939,100,100,2980,1,0,CPCG-150518
1545054726421,8669,Get Página Inicial,200,OK,Thread Group 1-98,true,,144834,100,100,3575,1,0,CPCG-150518
1545054726389,8745,Get Página Inicial,200,OK,Thread Group 1-95,true,,144773,100,100,3613,1,0,CPCG-150518
1545054725564,9603,Get Página Inicial,200,OK,Thread Group 1-16,true,,144835,100,100,2007,1,0,CPCG-150518
1545054725617,9637,Get Página Inicial,200,OK,Thread Group 1-20,true,,144962,100,100,1955,1,0,CPCG-150518
1545054726328,8929,Get Página Inicial,200,OK,Thread Group 1-89,true,,144989,100,100,3669,1,0,CPCG-150518
1545054725145,10238,Get Página Inicial,200,OK,Thread Group 1-5,true,,144752,100,100,1465,1,0,CPCG-150518
1545054726400,9409,Get Página Inicial,200,OK,Thread Group 1-96,true,,145167,100,100,3586,1,0,CPCG-150518
1545054726368,9480,Get Página Inicial,200,OK,Thread Group 1-93,true,,144907,100,100,3664,1,0,CPCG-150518
1545054726338,9513,Get Página Inicial,200,OK,Thread Group 1-90,true,,144776,100,100,3620,1,0,CPCG-150518
1545054726209,9750,Get Página Inicial,200,OK,Thread Group 1-77,true,,144827,100,100,3408,1,0,CPCG-150518
1545054726351,9612,Get Página Inicial,200,OK,Thread Group 1-91,true,,144934,100,100,3704,1,0,CPCG-150518
1545054726380,9752,Get Página Inicial,200,OK,Thread Group 1-94,true,,145064,100,100,3649,1,0,CPCG-150518
1545054726128,10015,Get Página Inicial,200,OK,Thread Group 1-53,true,,145046,100,100,2801,1,0,CPCG-150518
1545054725648,10518,Get Página Inicial,200,OK,Thread Group 1-23,true,,144828,100,100,2058,1,0,CPCG-150518
1545054726092,10092,Get Página Inicial,200,OK,Thread Group 1-50,true,,144966,100,100,2714,1,0,CPCG-150518
1545054726533,9659,Get Página Inicial,200,OK,Thread Group 1-100,true,,144817,100,100,3473,1,0,CPCG-150518
1545054726088,10115,Get Página Inicial,200,OK,Thread Group 1-49,true,,144900,100,100,2712,1,0,CPCG-150518
1545054726285,10177,Get Página Inicial,200,OK,Thread Group 1-85,true,,144684,100,100,3684,1,0,CPCG-150518
1545054725182,11586,Get Página Inicial,200,OK,Thread Group 1-7,true,,145046,100,100,2017,1,0,CPCG-150518
1545054726310,10462,Get Página Inicial,200,OK,Thread Group 1-87,true,,144858,100,100,3742,1,0,CPCG-150518
1545054726248,10571,Get Página Inicial,200,OK,Thread Group 1-81,true,,144961,100,100,3655,1,0,CPCG-150518
1545054726255,10572,Get Página Inicial,200,OK,Thread Group 1-82,true,,145000,100,100,3605,1,0,CPCG-150518
1545054725693,11145,Get Página Inicial,200,OK,Thread Group 1-25,true,,144882,100,100,2142,1,0,CPCG-150518
1545054725606,11246,Get Página Inicial,200,OK,Thread Group 1-19,true,,144900,100,100,1993,1,0,CPCG-150518
1545054726278,10579,Get Página Inicial,200,OK,Thread Group 1-84,true,,145034,100,100,3629,1,0,CPCG-150518
1545054726207,10658,Get Página Inicial,200,OK,Thread Group 1-76,true,,144817,100,100,3626,1,0,CPCG-150518
1545054725551,11373,Get Página Inicial,200,OK,Thread Group 1-15,true,,145023,100,100,1885,1,0,CPCG-150518
1545054725624,11303,Get Página Inicial,200,OK,Thread Group 1-21,true,,145050,100,100,2077,1,0,CPCG-150518
1545054726410,10521,Get Página Inicial,200,OK,Thread Group 1-97,true,,145004,100,100,3627,1,0,CPCG-150518
1545054726174,10759,Get Página Inicial,200,OK,Thread Group 1-68,true,,145103,100,100,3751,1,0,CPCG-150518
1545054726360,10575,Get Página Inicial,200,OK,Thread Group 1-92,true,,144891,100,100,3665,1,0,CPCG-150518
1545054726317,11068,Get Página Inicial,200,OK,Thread Group 1-88,true,,145140,100,100,3586,1,0,CPCG-150518
1545054726005,11389,Get Página Inicial,200,OK,Thread Group 1-46,true,,144959,100,100,2676,1,0,CPCG-150518
1545054725927,11686,Get Página Inicial,200,OK,Thread Group 1-35,true,,144948,100,100,2646,1,0,CPCG-150518
1545054725600,12040,Get Página Inicial,200,OK,Thread Group 1-18,true,,144777,100,100,1991,1,0,CPCG-150518
1545054725871,11777,Get Página Inicial,200,OK,Thread Group 1-30,true,,145055,100,100,2682,1,0,CPCG-150518
1545054725702,11946,Get Página Inicial,200,OK,Thread Group 1-27,true,,144936,100,100,2158,1,0,CPCG-150518
1545054725875,11775,Get Página Inicial,200,OK,Thread Group 1-38,true,,145133,100,100,2813,1,0,CPCG-150518
1545054725802,11852,Get Página Inicial,200,OK,Thread Group 1-32,true,,144790,100,100,2320,1,0,CPCG-150518
1545054725572,12183,Get Página Inicial,200,OK,Thread Group 1-17,true,,144859,100,100,1875,1,0,CPCG-150518
1545054726166,11637,Get Página Inicial,200,OK,Thread Group 1-65,true,,144937,100,100,3039,1,0,CPCG-150518
1545054725637,12230,Get Página Inicial,200,OK,Thread Group 1-22,true,,144966,100,100,2333,1,0,CPCG-150518
1545054725901,11969,Get Página Inicial,200,OK,Thread Group 1-41,true,,144692,100,100,2566,1,0,CPCG-150518
1545054725879,11991,Get Página Inicial,200,OK,Thread Group 1-39,true,,144917,100,100,2396,1,0,CPCG-150518
1545054725824,12136,Get Página Inicial,200,OK,Thread Group 1-34,true,,144715,100,100,2440,1,0,CPCG-150518
1545054725798,12163,Get Página Inicial,200,OK,Thread Group 1-31,true,,144926,100,100,2306,1,0,CPCG-150518
1545054726126,11838,Get Página Inicial,200,OK,Thread Group 1-52,true,,144959,100,100,2831,1,0,CPCG-150518
1545054726141,11824,Get Página Inicial,200,OK,Thread Group 1-58,true,,145148,100,100,2892,1,0,CPCG-150518
1545054725896,12070,Get Página Inicial,200,OK,Thread Group 1-36,true,,144759,100,100,2573,1,0,CPCG-150518
1545054726155,11812,Get Página Inicial,200,OK,Thread Group 1-61,true,,144904,100,100,2974,1,0,CPCG-150518
1545054725892,12076,Get Página Inicial,200,OK,Thread Group 1-40,true,,144905,100,100,2784,1,0,CPCG-150518
1545054726139,11930,Get Página Inicial,200,OK,Thread Group 1-57,true,,144992,100,100,2921,1,0,CPCG-150518
1545054726188,11891,Get Página Inicial,200,OK,Thread Group 1-70,true,,144990,100,100,3271,1,0,CPCG-150518
1545054725803,12277,Get Página Inicial,200,OK,Thread Group 1-33,true,,144915,100,100,2325,1,0,CPCG-150518
1545054726134,11954,Get Página Inicial,200,OK,Thread Group 1-55,true,,144757,100,100,3234,1,0,CPCG-150518
1545054726147,11942,Get Página Inicial,200,OK,Thread Group 1-59,true,,144912,100,100,2923,1,0,CPCG-150518
1545054726192,11898,Get Página Inicial,200,OK,Thread Group 1-71,true,,144986,100,100,3286,1,0,CPCG-150518
1545054726203,11895,Get Página Inicial,200,OK,Thread Group 1-75,true,,144844,100,100,3326,1,0,CPCG-150518
1545054726212,11888,Get Página Inicial,200,OK,Thread Group 1-78,true,,145110,100,100,3540,1,0,CPCG-150518
1545054726295,11807,Get Página Inicial,200,OK,Thread Group 1-86,true,,144840,100,100,3645,1,0,CPCG-150518
1545054726171,11933,Get Página Inicial,200,OK,Thread Group 1-67,true,,144878,100,100,3004,1,0,CPCG-150518
1545054726178,11927,Get Página Inicial,200,OK,Thread Group 1-66,true,,145124,100,100,3024,1,0,CPCG-150518
1545054726131,11975,Get Página Inicial,200,OK,Thread Group 1-54,true,,144852,100,100,2812,1,0,CPCG-150518
1545054725698,12409,Get Página Inicial,200,OK,Thread Group 1-26,true,,144883,100,100,2152,1,0,CPCG-150518
1545054726113,11996,Get Página Inicial,200,OK,Thread Group 1-51,true,,144862,100,100,2690,1,0,CPCG-150518
1545054726183,11927,Get Página Inicial,200,OK,Thread Group 1-69,true,,145170,100,100,3320,1,0,CPCG-150518
1545054726165,11946,Get Página Inicial,200,OK,Thread Group 1-64,true,,144854,100,100,2989,1,0,CPCG-150518
1545054726138,11974,Get Página Inicial,200,OK,Thread Group 1-56,true,,145051,100,100,2919,1,0,CPCG-150518
1545054726161,11952,Get Página Inicial,200,OK,Thread Group 1-63,true,,144869,100,100,3037,1,0,CPCG-150518
1545054725933,12181,Get Página Inicial,200,OK,Thread Group 1-43,true,,144674,100,100,2741,1,0,CPCG-150518
1545054725888,12228,Get Página Inicial,200,OK,Thread Group 1-37,true,,145015,100,100,2551,1,0,CPCG-150518
1545054726224,11893,Get Página Inicial,200,OK,Thread Group 1-79,true,,144740,100,100,3562,1,0,CPCG-150518
1545054725929,12196,Get Página Inicial,200,OK,Thread Group 1-42,true,,144984,100,100,2755,1,0,CPCG-150518
1545054725686,12443,Get Página Inicial,200,OK,Thread Group 1-24,true,,144746,100,100,2140,1,0,CPCG-150518
1545054725938,12202,Get Página Inicial,200,OK,Thread Group 1-45,true,,144857,100,100,2721,1,0,CPCG-150518
1545054725792,12355,Get Página Inicial,200,OK,Thread Group 1-28,true,,144737,100,100,2172,1,0,CPCG-150518
