timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,54478E+12;23444;Get Página Inicial;200;OK;Thread Group 1-134;text;true;;144904;6622;200;200;https://homologacao.ufms.br/siscad/;6267;0;6148
1,54478E+12;6267;Get Página Inicial-0;200;OK;Thread Group 1-134;text;true;;2880;419;200;200;https://homologacao.ufms.br/siscad/;6267;0;6148
1,54478E+12;404;Get Página Inicial-1;200;OK;Thread Group 1-134;text;true;;1175;498;200;200;https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900;404;0;299
1,54478E+12;4989;Get Página Inicial-2;200;OK;Thread Group 1-134;text;true;;21883;886;200;200;https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css;3927;0;3413
1,54478E+12;1844;Get Página Inicial-3;200;OK;Thread Group 1-134;text;true;;1681;436;200;200;https://homologacao.ufms.br/siscad/css/new_login.css;1844;0;1278
1,54478E+12;209;Get Página Inicial-4;200;OK;Thread Group 1-134;text;true;;4301;434;200;200;https://homologacao.ufms.br/siscad/css/animate.css;209;0;0
1,54478E+12;2257;Get Página Inicial-5;200;OK;Thread Group 1-134;text;true;;5760;466;200;200;https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css;2257;0;1883
1,54478E+12;1589;Get Página Inicial-6;200;OK;Thread Group 1-134;text;true;;33647;449;200;200;https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js;1525;0;1271
1,54478E+12;127;Get Página Inicial-7;200;OK;Thread Group 1-134;text;true;;9904;445;200;200;https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js;127;0;0
1,54478E+12;3;Get Página Inicial-8;200;OK;Thread Group 1-134;text;true;;3118;432;200;200;https://homologacao.ufms.br/siscad/js/wow.min.js;3;0;0
1,54478E+12;2;Get Página Inicial-9;200;OK;Thread Group 1-134;text;true;;766;430;200;200;https://homologacao.ufms.br/siscad/js/login.js;2;0;0
1,54478E+12;3;Get Página Inicial-10;200;OK;Thread Group 1-134;text;true;;2859;437;200;200;https://homologacao.ufms.br/siscad/js/build/vendor.js;3;0;0
1,54478E+12;1895;Get Página Inicial-11;200;OK;Thread Group 1-134;text;true;;854;418;200;200;https://cdn.ufms.br/homologacao.js;1895;0;1761
1,54478E+12;2334;Get Página Inicial-12;200;OK;Thread Group 1-134;text;true;;33100;440;200;200;https://www.googletagmanager.com/gtag/js?id=UA-1179462-5;2319;0;2000
