timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544705383447,1177,1 /siscad/,200,OK,Thread Group 1-1,text,true,,144951,6622,10,10,https://homologacao.ufms.br/siscad/,56,0,26
1544705383447,56,1 /siscad/-0,200,OK,Thread Group 1-1,text,true,,2880,419,10,10,https://homologacao.ufms.br/siscad/,56,0,26
1544705383504,229,1 /siscad/-1,200,OK,Thread Group 1-1,text,true,,1175,498,10,10,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",229,0,141
1544705383734,104,1 /siscad/-2,200,OK,Thread Group 1-1,text,true,,21882,886,10,10,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,15,0,0
1544705383838,4,1 /siscad/-3,200,OK,Thread Group 1-1,text,true,,1680,436,10,10,https://homologacao.ufms.br/siscad/css/new_login.css,4,0,0
1544705383842,4,1 /siscad/-4,200,OK,Thread Group 1-1,text,true,,4301,434,10,10,https://homologacao.ufms.br/siscad/css/animate.css,4,0,0
1544705383847,152,1 /siscad/-5,200,OK,Thread Group 1-1,text,true,,5760,466,10,10,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,152,0,107
1544705384024,45,1 /siscad/-6,200,OK,Thread Group 1-1,text,true,,33646,449,10,10,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,44,0,0
1544705384069,28,1 /siscad/-7,200,OK,Thread Group 1-1,text,true,,9904,445,10,10,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,28,0,0
1544705384097,14,1 /siscad/-8,200,OK,Thread Group 1-1,text,true,,3118,432,10,10,https://homologacao.ufms.br/siscad/js/wow.min.js,14,0,0
1544705384112,3,1 /siscad/-9,200,OK,Thread Group 1-1,text,true,,766,430,10,10,https://homologacao.ufms.br/siscad/js/login.js,3,0,0
1544705384116,18,1 /siscad/-10,200,OK,Thread Group 1-1,text,true,,2859,437,10,10,https://homologacao.ufms.br/siscad/js/build/vendor.js,18,0,0
1544705384136,108,1 /siscad/-11,200,OK,Thread Group 1-1,text,true,,854,418,10,10,https://cdn.ufms.br/homologacao.js,108,0,92
1544705384244,366,1 /siscad/-12,200,OK,Thread Group 1-1,text,true,,33151,440,10,10,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,309,0,210
1544705384610,14,1 /siscad/-13,200,OK,Thread Group 1-1,bin,true,,22975,432,10,10,https://homologacao.ufms.br/siscad/img/logo2.png,14,0,0
1544705383445,1177,Recording Controller-0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,144951,6622,10,10,null,56,3,26
1544705383558,1105,1 /siscad/,200,OK,Thread Group 1-2,text,true,,144919,6622,10,10,https://homologacao.ufms.br/siscad/,51,0,26
1544705383558,51,1 /siscad/-0,200,OK,Thread Group 1-2,text,true,,2880,419,10,10,https://homologacao.ufms.br/siscad/,51,0,26
1544705383610,231,1 /siscad/-1,200,OK,Thread Group 1-2,text,true,,1175,498,10,10,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",231,0,149
1544705383841,94,1 /siscad/-2,200,OK,Thread Group 1-2,text,true,,21882,886,10,10,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,12,0,0
1544705383935,6,1 /siscad/-3,200,OK,Thread Group 1-2,text,true,,1680,436,10,10,https://homologacao.ufms.br/siscad/css/new_login.css,6,0,0
1544705383941,10,1 /siscad/-4,200,OK,Thread Group 1-2,text,true,,4301,434,10,10,https://homologacao.ufms.br/siscad/css/animate.css,10,0,0
1544705383952,172,1 /siscad/-5,200,OK,Thread Group 1-2,text,true,,5760,466,10,10,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,172,0,125
1544705384124,57,1 /siscad/-6,200,OK,Thread Group 1-2,text,true,,33646,449,10,10,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,26,0,0
1544705384181,44,1 /siscad/-7,200,OK,Thread Group 1-2,text,true,,9904,445,10,10,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,44,0,0
1544705384225,6,1 /siscad/-8,200,OK,Thread Group 1-2,text,true,,3118,432,10,10,https://homologacao.ufms.br/siscad/js/wow.min.js,6,0,0
1544705384231,11,1 /siscad/-9,200,OK,Thread Group 1-2,text,true,,766,430,10,10,https://homologacao.ufms.br/siscad/js/login.js,11,0,0
