timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545054725101,1527,Get Página Inicial,200,OK,Thread Group 1-1,text,true,,144726,6622,100,100,https://homologacao.ufms.br/siscad/,57,0,27
1545054725101,57,Get Página Inicial-0,200,OK,Thread Group 1-1,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,57,0,27
1545054725159,301,Get Página Inicial-1,200,OK,Thread Group 1-1,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",301,0,219
1545054725468,88,Get Página Inicial-2,200,OK,Thread Group 1-1,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,10,0,0
1545054725558,3,Get Página Inicial-3,200,OK,Thread Group 1-1,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,3,0,0
1545054725561,19,Get Página Inicial-4,200,OK,Thread Group 1-1,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,18,0,0
1545054725580,227,Get Página Inicial-5,200,OK,Thread Group 1-1,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,227,0,142
1545054725807,14,Get Página Inicial-6,200,OK,Thread Group 1-1,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,13,0,0
1545054725822,5,Get Página Inicial-7,200,OK,Thread Group 1-1,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,4,0,0
1545054725827,3,Get Página Inicial-8,200,OK,Thread Group 1-1,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054725830,3,Get Página Inicial-9,200,OK,Thread Group 1-1,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,3,0,0
1545054725833,93,Get Página Inicial-10,200,OK,Thread Group 1-1,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,93,0,0
1545054725926,118,Get Página Inicial-11,200,OK,Thread Group 1-1,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,118,0,94
1545054726044,580,Get Página Inicial-12,200,OK,Thread Group 1-1,text,true,,32926,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,545,0,462
1545054726624,4,Get Página Inicial-13,200,OK,Thread Group 1-1,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725111,1521,Get Página Inicial,200,OK,Thread Group 1-2,text,true,,144981,6622,100,100,https://homologacao.ufms.br/siscad/,67,0,40
1545054725111,67,Get Página Inicial-0,200,OK,Thread Group 1-2,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,67,0,40
1545054725179,310,Get Página Inicial-1,200,OK,Thread Group 1-2,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",310,0,214
1545054725489,85,Get Página Inicial-2,200,OK,Thread Group 1-2,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,10,0,0
1545054725575,2,Get Página Inicial-3,200,OK,Thread Group 1-2,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,2,0,0
1545054725577,5,Get Página Inicial-4,200,OK,Thread Group 1-2,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,5,0,0
1545054725583,222,Get Página Inicial-5,200,OK,Thread Group 1-2,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,222,0,137
1545054725806,16,Get Página Inicial-6,200,OK,Thread Group 1-2,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,15,0,0
1545054725822,8,Get Página Inicial-7,200,OK,Thread Group 1-2,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,7,0,0
1545054725830,2,Get Página Inicial-8,200,OK,Thread Group 1-2,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,2,0,0
1545054725833,2,Get Página Inicial-9,200,OK,Thread Group 1-2,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,2,0,0
1545054725835,94,Get Página Inicial-10,200,OK,Thread Group 1-2,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,94,0,0
1545054725930,104,Get Página Inicial-11,200,OK,Thread Group 1-2,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,104,0,77
1545054726035,592,Get Página Inicial-12,200,OK,Thread Group 1-2,text,true,,33181,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,555,0,470
1545054726627,5,Get Página Inicial-13,200,OK,Thread Group 1-2,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,5,0,0
1545054725188,1525,Get Página Inicial,200,OK,Thread Group 1-8,text,true,,144923,6622,100,100,https://homologacao.ufms.br/siscad/,172,0,98
1545054725188,173,Get Página Inicial-0,200,OK,Thread Group 1-8,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,172,0,98
1545054725361,273,Get Página Inicial-1,200,OK,Thread Group 1-8,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",273,0,185
1545054725635,86,Get Página Inicial-2,200,OK,Thread Group 1-8,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,10,0,0
1545054725722,2,Get Página Inicial-3,200,OK,Thread Group 1-8,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,2,0,0
1545054725724,5,Get Página Inicial-4,200,OK,Thread Group 1-8,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,4,0,0
1545054725729,254,Get Página Inicial-5,200,OK,Thread Group 1-8,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,254,0,208
1545054725984,14,Get Página Inicial-6,200,OK,Thread Group 1-8,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,12,0,0
1545054725998,6,Get Página Inicial-7,200,OK,Thread Group 1-8,text,true,,9904,445,100,100,https://homologacao.ufms.br/siscad/js/vendor/bootstrap.min.js,5,0,0
1545054726004,4,Get Página Inicial-8,200,OK,Thread Group 1-8,text,true,,3118,432,100,100,https://homologacao.ufms.br/siscad/js/wow.min.js,3,0,0
1545054726008,2,Get Página Inicial-9,200,OK,Thread Group 1-8,text,true,,766,430,100,100,https://homologacao.ufms.br/siscad/js/login.js,2,0,0
1545054726010,4,Get Página Inicial-10,200,OK,Thread Group 1-8,text,true,,2859,437,100,100,https://homologacao.ufms.br/siscad/js/build/vendor.js,4,0,0
1545054726014,206,Get Página Inicial-11,200,OK,Thread Group 1-8,text,true,,854,418,100,100,https://cdn.ufms.br/homologacao.js,206,0,68
1545054726220,489,Get Página Inicial-12,200,OK,Thread Group 1-8,text,true,,33123,440,100,100,https://www.googletagmanager.com/gtag/js?id=UA-1179462-5,454,0,382
1545054726709,4,Get Página Inicial-13,200,OK,Thread Group 1-8,bin,true,,22975,432,100,100,https://homologacao.ufms.br/siscad/img/logo2.png,4,0,0
1545054725124,1650,Get Página Inicial,200,OK,Thread Group 1-3,text,true,,145022,6622,100,100,https://homologacao.ufms.br/siscad/,264,0,229
1545054725124,264,Get Página Inicial-0,200,OK,Thread Group 1-3,text,true,,2880,419,100,100,https://homologacao.ufms.br/siscad/,264,0,229
1545054725389,289,Get Página Inicial-1,200,OK,Thread Group 1-3,text,true,,1175,498,100,100,"https://fonts.googleapis.com/css?family=Lato:100italic,100,300italic,300,400italic,400,700italic,700,900italic,900",289,0,172
1545054725679,101,Get Página Inicial-2,200,OK,Thread Group 1-3,text,true,,21882,886,100,100,https://homologacao.ufms.br/siscad/css/vendor/bootstrap.min.css,10,0,0
1545054725781,3,Get Página Inicial-3,200,OK,Thread Group 1-3,text,true,,1680,436,100,100,https://homologacao.ufms.br/siscad/css/new_login.css,3,0,0
1545054725784,5,Get Página Inicial-4,200,OK,Thread Group 1-3,text,true,,4301,434,100,100,https://homologacao.ufms.br/siscad/css/animate.css,5,0,0
1545054725790,232,Get Página Inicial-5,200,OK,Thread Group 1-3,text,true,,5760,466,100,100,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.min.css,232,0,192
1545054726022,18,Get Página Inicial-6,200,OK,Thread Group 1-3,text,true,,33646,449,100,100,https://homologacao.ufms.br/siscad/js/vendor/jquery-1.11.3.min.js,16,0,0
